Release deste PTM: 12.1.17
Programas contidos neste PTM (20180528):
AUTONFEBUSINESS.PRW  02/03/2018 10:45:37 17
AUTONFECANC.PRW  13/06/2017 15:57:25 17
AUTONFECONTROL.PRW  13/06/2017 15:57:25 17
AUTONFEMON.PRW  13/06/2017 15:57:25 17
AUTONFETRANS.PRW  13/06/2017 15:57:25 17
CLIENTWSCLE.PRW  13/06/2017 10:32:28 17
COLABGENERIC.PRW  08/05/2018 10:39:01 17
COLABNFE_V4.PRW  17/05/2018 17:08:56 17
DANFEII.PRW  21/05/2018 16:26:38 $Prothe
DANFEIII.PRW  21/05/2018 16:26:38 $Prothe
FISA080.PRW  15/02/2018 16:20:00 17
FISXAPURA.PRW  11/05/2018 10:22:37
FISXSERID.PRW  18/01/2018 17:18:56
IMPXFIS.PRW  16/05/2018 10:25:21
JOBCONTROL.PRW  13/06/2017 15:57:25 17
MATA010ALTERNATIVO.PRW  01/09/2017 14:18:32 17
MATA010DMS.PRW  02/04/2018 14:17:25 17
MATA010EVDEF.PRW  04/05/2018 08:59:14 17
MATA010EVOMS.PRW  25/04/2018 15:04:10 17
MATA010EVTAF.PRW  14/03/2018 11:24:02 17
MATA010EVTE.PRW  01/09/2017 14:18:32 17
MATA019EVDEF.PRW  01/09/2017 14:18:32 17
MATA019EVPE.PRW  01/09/2017 14:18:32 17
MATA161.PRW  25/03/2018 15:47:42 17
MATA180EVDEF.PRW  01/09/2017 14:18:32 17
MATA180EVPE.PRW  01/09/2017 14:18:32 17
MATA926.PRW  25/05/2018 17:07:30 16
MATR952.PRW  11/12/2017 18:07:05 17
NFESEFAZ.PRW  24/05/2018 18:18:14 $PROTHE
SPEDCOL.PRW  07/03/2018 19:28:42 17
SPED_WSCADM.PRW  27/02/2018 16:17:53 17
SPED_WSCCFGNFE.PRW  18/05/2018 13:34:40 17
SPED_WSCNFESBRA.PRW  30/10/2017 09:59:01 17
TSSCONFIG.PRW  24/05/2018 17:20:01 17
FISXAPUR.PRX  15/05/2018 17:30:19
FISXFUN.PRX  18/04/2018 14:50:51 17
MATA010.PRX  07/05/2018 15:51:17 17
MATA010M.PRX  11/05/2018 13:49:08 17
MATA019.PRX  24/04/2018 13:53:16 17
MATA080.PRX  24/05/2018 14:59:13 $PROTHE
MATA120.PRX  17/05/2018 19:14:07 17
MATA125.PRX  25/01/2018 11:07:09 17
MATA150.PRX  19/04/2018 18:39:39 17
MATA180.PRX  02/05/2018 13:49:40 17
MATA180M.PRX  02/05/2018 13:49:40 17
MATA953.PRX  15/05/2018 11:40:27
MATR930.PRX  16/05/2018 08:21:22 17
MATR931.PRX  09/05/2018 16:56:35 17
MATR932.PRX  10/05/2018 11:28:52 17
MATXFIS.PRX  16/05/2018 16:52:01
MATXFUNA.PRX  09/05/2018 15:49:07 17
SPEDNFE.PRX  21/05/2018 09:37:22 17
